"ID","square_meters","bathrooms_number","lift","rooms_number","other_features","total_floors_in_building","car_parking","availability","condominium_fees","year_of_construction","conditions","zone","floor","heating_centralized","energy_efficiency_class","selling_price"
1,135,"2","yes","3","optic fiber | security door | balcony | full day concierge | cellar","7","no","available","417",NA,"excellent / refurbished","quadronno - crocetta","2","central","g",1125000
2,57,"1","yes","2","optic fiber | video entryphone | alarm system | security door | external exposure | closet | half-day concierge | centralized tv system | partially furnished | window frames in double glass / pvc","7","1 in garage/box","available","No condominium fees",2010,"excellent / refurbished","porta romana - medaglie d'oro","1","central","e",5e+05
3,92,"1","yes","3","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | half-day concierge | furnished | cellar | shared garden | window frames in double glass / pvc","8","no","available","200",1960,"excellent / refurbished","gallaratese","1","central","e",395000
4,63,"1","no","2","optic fiber | video entryphone | security door | full day concierge | window frames in double glass / pvc","8","no",NA,"208",NA,"excellent / refurbished","martini - insubria","mezzanine","central","f",340000
5,38,"1","no","1","optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc","4","no","available","80",1930,"excellent / refurbished","navigli - darsena","1","independent","g",199000
6,45,"1","no","1","electric gate | optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | window frames in glass / wood","5","no","available","100",1911,"good condition / liveable","porta romana - medaglie d'oro","1","central","g",299000
7,60,"1","no","2","optic fiber | security door | external exposure | balcony | centralized tv system | furnished | window frames in double glass / pvc","6","no",NA,"167",1950,"good condition / liveable","giambellino","5","central","g",145000
8,230,"3","yes","5+","electric gate | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / metal | double exposure","6","no","available","600",1970,"to be refurbished","morgagni","1","central",NA,1400000
9,50,"1","no","2","electric gate | optic fiber | alarm system | security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / pvc","3","no","available","200",1900,"excellent / refurbished","ticinese","2","independent",NA,590000
10,170,"2","yes","4","security door | balcony | terrace | half-day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","6","no","available","500",1970,"good condition / liveable","de angeli","6","central","g",1290000
11,66,"1","yes","2","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal","8","no","available","100",1970,"new / under construction","palestro","semi-basement","independent","b",419000
12,60,"2","yes","2","electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | centralized tv system | furnished | window frames in double glass / pvc","3","no","available","60",1940,"excellent / refurbished","cermenate - abbiategrasso","ground floor","independent","e",220000
13,60,"1","no","2","electric gate | optic fiber | security door | external exposure | closet | balcony | centralized tv system | furnished | window frames in double glass / metal","1 floor","no","available","150",1940,"good condition / liveable","vigentino - fatima","1","central","g",199000
14,70,"1",NA,"3","electric gate | optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / pvcdouble exposure","4","no","available","200",1960,"excellent / refurbished","rovereto","mezzanine","central","g",350000
15,85,"2","yes","2","hydromassage | electric gate | fireplace | optic fiber | security door | closet | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood | double exposure","4","no","available from 01/04/2024","250",1900,"good condition / liveable","brera","3","independent","g",1050000
16,86,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure","8","1 in garage/box","available","250",NA,"excellent / refurbished","pezzotti - meda","8","central",NA,465000
17,40,"1","yes","2","security door | window frames in double glass / metal | double exposure","3","no","available","70",2023,"new / under construction","dergano","2","independent","a",230000
18,110,"1","yes","4","kitchen | terrace | cellar | window frames in glass / wood | exposure north, south","5","no","available","250",1960,"good condition / liveable","ghisolfa - mac mahon","1","central",NA,495000
19,117,"2","yes","4","optic fiber | video entryphone | security door | external exposure | centralized tv system | partially furnished | shared garden | window frames in double glass / pvc","8","no","available","No condominium fees",1960,"new / under construction","crescenzago","ground floor","independent","g",255000
20,400,"1","yes","3","hydromassage | electric gate | fireplace | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | furnished","8","no","available","290",1978,"good condition / liveable","villa san giovanni","7","central","e",540000
21,127,"2","no","3","optic fiber | alarm system | security door | internal exposure | closet | balcony | terrace | centralized tv system | furnished | window frames in double glass / pvc","2","no","available","174",1970,"excellent / refurbished","barona","2","independent","d",730000
22,53,"1","yes","2","electric gate | security door | internal exposure | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc","6","no","available","135",1960,"excellent / refurbished","dezza","3","central","d",380000
23,70,"1","yes","2","balcony | cellar | shared garden","6","1 in shared parking",NA,"200",1965,"good condition / liveable","quartiere olmi","3","central","g",178000
24,59,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | shared garden | window frames in double glass / metal","7","1 in garage/box","available","200",1970,"excellent / refurbished","famagosta","4","central","e",324000
25,130,"2","yes","4","security door | balcony | cellar","6","no","available","No condominium fees",NA,"new / under construction","pagano","2","central","g",1110000
26,75,"1","yes","3","security door | balcony | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure","8","no","available","217",1970,"excellent / refurbished","tre castelli - faenza","1","central","g",335000
27,65,"1","no","2","balcony | shared garden","4","no","available","150",NA,"good condition / liveable","crescenzago","2","central","g",208000
28,133,"2","no","3","electric gate | optic fiber | video entryphone | security door | centralized tv system | partially furnished | shared garden | window frames in double glass / metal | double exposure","3","1 in garage/box",NA,"42",NA,"excellent / refurbished","viale ungheria - mecenate","ground floor","independent","b",525000
29,68,"1","no","2","electric gate | optic fiber | video entryphone | security door | internal exposure | closet | terrace | centralized tv system | window frames in double glass / pvc","1 floor","no","available","10",2024,"excellent / refurbished","cascina dei pomi","1","independent","a",355000
30,68,"1","no","2","external exposure | balcony | single tv system","4","no","available","150",NA,"good condition / liveable","san siro","mezzanine","central","g",159000
31,130,"2","yes","4","optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood","5","no","available","600",1945,"to be refurbished","san vittore","1","central","e",1250000
32,87,"1","yes","3","electric gate | security door | internal exposure | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvc","6","no",NA,"167",1970,"good condition / liveable","baggio","mezzanine","central","d",210000
33,40,"1","yes","2","tavern | optic fiber | security door | internal exposure | closet | centralized tv system | cellar | private garden | window frames in glass / pvc","3","no","available","167",1920,"to be refurbished","isola","ground floor","independent","g",350000
34,90,"1","yes","3","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure","8","no","available","167",1985,"excellent / refurbished","tre castelli - faenza","7","independent",NA,340000
35,158,"2","yes","4","electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure","6","no","available","No condominium fees",2026,"new / under construction","cantalupa - san paolo","5","central","a",730400
36,112,"2","yes","4","optic fiber | video entryphone | alarm system | balcony | furnished | cellar | window frames in double glass / wood","6","no","available",NA,1950,"good condition / liveable","corvetto","4","central",NA,345000
37,75,"1","yes","2","electric gate | optic fiber | video entryphone | balcony | full day concierge | centralized tv system | cellar","7","no","available","208",1963,"good condition / liveable","gallaratese","1","central","e",199000
38,51,"1","no","2","kitchen | furnished | cellar | shared garden | exposure north, south","3","no","available","70",NA,"excellent / refurbished","bruzzano","1","independent","d",250000
39,110,"2","yes","4","security door | balcony | cellar","8","no","available","No condominium fees",NA,"new / under construction","indipendenza","1","central","g",816000
40,75,"1","yes","2","video entryphone | balcony | full day concierge | cellar","6","no",NA,"208",NA,"good condition / liveable","bisceglie","4","central","g",220000
41,117,"2","yes","3","terrace | single tv system | cellar | private garden","2","1 in garage/box","available","No condominium fees",NA,"new / under construction","quinto romano","ground floor","independent","a",365000
42,185,"3","yes","4","optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc","7","1 in garage/box, 1 in shared parking",NA,"600",1970,"excellent / refurbished","amendola - buonarroti","3","central","g",1700000
43,100,"1","yes","3","electric gate | attic | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood | double exposure","3","1 in garage/box","available","300",1970,"good condition / liveable","qt8","1","central","f",450000
44,180,"3","yes","5","video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / metal","6","no","available","642",1960,"excellent / refurbished","città studi","4","central","f",1180000
45,114,"2","no","3","security door | balcony | single tv system | cellar | private garden | window frames in double glass / pvcdouble exposure","1 floor","1 in garage/box, 1 in shared parking",NA,"No condominium fees",1930,"good condition / liveable","baggio","1","independent","g",240000
46,100,"2","yes","3","fireplace | optic fiber | security door | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure","5","no",NA,"200",1920,"to be refurbished","porta venezia","5","central","f",640000
47,270,"1","no","5","electric gate | optic fiber | video entryphone | alarm system | internal exposure | centralized tv system | window frames in double glass / metal","1 floor","no","available","180",2004,"excellent / refurbished","dergano","ground floor","independent","d",470000
48,162,"2","yes","4","hydromassage | optic fiber | video entryphone | alarm system | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure","8","no","available","380",1962,"excellent / refurbished","pasteur","1","central","e",790000
49,94,"2","yes","3","optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvc","7","no","available",NA,2024,"new / under construction","viale ungheria - mecenate","2","central","a",370000
50,65,"1","yes","2","electric gate | optic fiber | video entryphone | security door | external exposure | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in double glass / metal","23","no","available",NA,2027,"new / under construction","cascina merlata - musocco","5","central",NA,379500
51,61,"1","yes","2","optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | window frames in double glass / wood","5","no",NA,"No condominium fees",1920,"excellent / refurbished","porta romana - medaglie d'oro","2","independent","g",425900
